ID,縣市,種類,行政區,轄區分局,地點,行向,經度,緯度,取締項目(RAW),取締項目(CLEAN),超速速限,區間測速偵測長度,未依標誌標線行駛,闖紅燈,超速,未禮讓行人,限制車種違規駛入,違規停車
NP0016,新北市,違規停車科技執法,板橋區,,板橋區縣民大道二段7號,,121.4636257,25.0141549,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
NP0018,新北市,違規停車科技執法,板橋區,,板橋區縣民大道二段8號,,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
NP0025,新北市,違規停車科技執法,汐止區,,汐止區新台五路一段158至162號,,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
NP0028,新北市,違規停車科技執法,淡水區,,淡水區中山北路一段157至171號,,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
NP0029,新北市,違規停車科技執法,淡水區,,淡水區中山北路一段120-1號至大忠街41巷口,,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
NP0903,新北市,違規停車科技執法,新店區,新北市政府交通局,復興路51號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0904,新北市,違規停車科技執法,新店區,新北市政府交通局,復興路40號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0905,新北市,違規停車科技執法,新店區,新北市政府交通局,安和路三段100號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0906,新北市,違規停車科技執法,新店區,新北市政府交通局,中興路一段203號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0907,新北市,違規停車科技執法,新店區,新北市政府交通局,中興路一段253號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0908,新北市,違規停車科技執法,新店區,新北市政府交通局,中興路一段266之1號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0909,新北市,違規停車科技執法,新店區,新北市政府交通局,民族路108號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0910,新北市,違規停車科技執法,新店區,新北市政府交通局,民族路110號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0911,新北市,違規停車科技執法,新店區,新北市政府交通局,中正路637號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0912,新北市,違規停車科技執法,新店區,新北市政府交通局,中正路690號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0913,新北市,違規停車科技執法,深坑區,新北市政府交通局,文化街45號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0914,新北市,違規停車科技執法,深坑區,新北市政府交通局,文化街41號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0916,新北市,違規停車科技執法,中和區,新北市政府交通局,莒光路200號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0917,新北市,違規停車科技執法,中和區,新北市政府交通局,莒光路191號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0919,新北市,違規停車科技執法,中和區,新北市政府交通局,永貞路292號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0920,新北市,違規停車科技執法,中和區,新北市政府交通局,建一路3號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0921,新北市,違規停車科技執法,中和區,新北市政府交通局,建一路85號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0922,新北市,違規停車科技執法,永和區,新北市政府交通局,仁愛路301號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0923,新北市,違規停車科技執法,五股區,新北市政府交通局,成泰路一段123號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0924,新北市,違規停車科技執法,五股區,新北市政府交通局,明德路2號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0925,新北市,違規停車科技執法,五股區,新北市政府交通局,水碓路7號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0926,新北市,違規停車科技執法,林口區,新北市政府交通局,竹林路265-1號、267號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0927,新北市,違規停車科技執法,林口區,新北市政府交通局,林口路84號及,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0928,新北市,違規停車科技執法,泰山區,新北市政府交通局,新生路2號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0929,新北市,違規停車科技執法,新莊區,新北市政府交通局,龍安路110號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0930,新北市,違規停車科技執法,新莊區,新北市政府交通局,裕民街123號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
NP0957,新北市,違規停車科技執法,汐止區,新北市政府交通局,莊敬街33號,,,,停車時間未依規定,違規停車,,,0,0,0,0,0,1
TC0628,臺中市,違規停車科技執法,,,國道3號龍井交流道下,東往西方向路邊,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
TC0631,臺中市,違規停車科技執法,豐原區,,豐原區中正路1號,,,,違規(臨時)停車,違規停車,,,0,0,0,0,0,1
TN0132,臺南市,違規停車科技執法,永康區,永康分局,"中華路與中華一路口周邊路段(近兵仔市場)
【中華路東側自門牌96號至204號、中華路西側自門牌145號至213號】",雙向,,,違規停車、違規臨時停車、違規占用機(慢)車優先道臨時停車等,違規停車,50.0,,0,0,0,0,0,1
TP0152,臺北市,違規停車科技執法,,中山,中山北路二段92號,,,,違規停車,違規停車,,,0,0,0,0,0,1
TP0155,臺北市,違規停車科技執法,,內湖,內湖路一段739號,,,,違規停車,違規停車,,,0,0,0,0,0,1
TP0156,臺北市,違規停車科技執法,,中正二,捷運公館站(羅斯福路四段68號至108巷),,,,違規停車,違規停車,,,0,0,0,0,0,1
